data,id,presenca
28/7/2016,1,27/10/16-20/12/16-03/03/17-26/04/17-04/07/17-05/09/17-24/10/17-06/12/17-13/06/18-18/10/18-05/12/18-16/01/19-23/11/19-29/07/21-22/09/21-26/10/21-
28/7/2016,2,04/08/16 - 10/08/16 - 01/09/16-15/09/16-23/09/16-18/10/16-28/10/16-20/12/16-27/12/16-13/01/17-09/02/17-07/03/17-06/04/17-26/05/17-04/07/17-26/07/17-18/08/17-12/09/17-17/10/17-29/11/17-24/01/18-20/03/18-10/04/18-24/04/18-18/07/18-21/08/18-29/08/18-11/09/18-20/09/18-24/10/18-14/11/18-08/12/18-27/12/18-23/01/19-12/02/19-26/02/19-26/03/19-07/09/19-27/09/19-18/10/19-09/11/19-14/12/19-01/02/20-26/09/20-24/10/20-14/11/20-05/12/20-19/12/20-08/04/21-08/05/21-05/06/21-01/07/21-17/07/21-31/07/21-14/08/21-21/08/21-04/09/21-30/09/21-30/10/21-04/12/21-19/01/22-25/02/22-12/07/22-
28/7/2016,3,10/08/16 -17/08/16-25/08/16-15/09/16-13/10/16-10/11/16-09/12/16-10/01/17-10/02/17-16/03/17-20/04/17-18/05/17-07/06/17-07/07/17-08/08/17-05/09/17-23/11/17-19/12/17-18/01/18-20/02/18-22/03/18-26/04/18-18/05/18-19/06/18-17/07/18-16/08/18-18/09/18-16/10/18-13/11/18-11/12/18-15/01/19-13/03/19-12/04/19-09/05/19-13/08/19-12/09/19-09/10/19-12/11/19-10/12/19-07/01/20-11/02/20-06/03/20-02/04/20-12/05/20-02/06/20-03/07/20-04/08/20-02/09/20-30/09/20-11/11/20-08/12/20-26/01/21-31/03/21-29/04/21-01/07/21-30/07/21-31/08/21-30/09/21-27/10/21-26/11/21-21/12/21-14/01/22-08/02/22-04/03/22-30/03/22-
28/7/2016,4,13/09/16-05/10/16-01/11/16-15/03/17-
28/7/2016,5,09/08/16-
28/7/2016,6,16/09/16-12/05/17-
28/7/2016,7,19/08/16-
29/7/2016,8,30/09/16-20/12/16-
29/7/2016,9,05/08/16 - 19/10/18-26/10/18-16/11/18-14/12/18-26/01/18-02/03/19-02/04/19-10/05/19-
29/7/2016,10,01/09/16-04/11/16-16/12/16-24/02/17-04/05/17-16/06/17-
29/7/2016,11,11/08/16-26/08/16-01/09/16-17/09/16-01/10/16-08/10/16-29/10/16-08/12/16-24/12/16-31/12/16-21/01/17-04/02/17-25/02/17-08/03/17-25/03/17-29/03/17-04/04/17-29/04/17-18/05/17-23/05/17-03/06/17-16/06/17-30/06/17-15/07/17-25/07/17-17/08/17-01/09/17-06/09/17-21/09/17-14/10/17-21/10/17-27/10/17-04/11/17-17/11/17-30/11/17-07/12/17-21/12/17-27/01/18-17/02/18-23/02/18-10/03/18-17/03/18-24/03/18-14/04/18-05/05/18-26/05/18-07/06/18-30/06/18-14/07/18-23/08/18-20/09/18-06/10/18-19/10/18-26/10/18-03/11/18-09/11/18-30/11/18-07/12/18-14/12/18-27/12/18-11/01/19-18/01/19-01/02/19-09/02/19-22/02/19-01/03/19-08/03/19-22/03/19-06/04/19-18/04/19-04/05/19-18/05/19-31/05/19-08/06/19-19/06/19-29/06/19-06/07/19-19/07/19-02/08/19-23/08/19-06/09/19-13/09/19-12/10/19-25/10/19-02/11/19-09/11/19-15/11/19-23/11/19-07/12/19-20/12/19-28/12/19-07/01/20-17/01/20-21/01/20-25/01/20-08/02/20-15/02/20-21/02/20-28/02/20-05/03/20-10/03/20-12/03/20-27/03/20-08/04/20-10/04/20-25/04/20-30/05/20-10/06/20-27/06/20-10/07/20-05/08/20-14/08/20-22/08/20-05/09/20-17/09/20-25/09/20-03/10/20-17/10/20-29/10/20-06/11/20-13/11/20-20/11/20-27/11/20-04/12/20-10/12/20-18/12/20-24/12/20-30/12/20-14/01/21-26/01/21-10/02/21-23/02/21-11/03/21-25/03/21-07/04/21-16/04/21-22/04/21-07/05/21-21/05/21-03/06/21-11/06/21-23/06/21-09/07/21-22/07/21-05/08/21-13/08/21-24/08/21-03/09/21-16/09/21-28/09/21-22/10/21-27/10/21-08/12/21-18/12/21-30/12/21-14/01/22-22/01/22-04/02/22-15/02/22-18/03/22-30/03/22-04/05/22-21/05/22-23/06/22-12/08/22-02/09/22-21/09/22-28/09/22-08/10/22-21/10/22-02/11/22-12/11/22-25/11/22-22/12/22-28/12/22-11/02/23-10/03/23-28/03/23-12/04/23-05/05/23-12/05/23-19/05/23-25/05/23-02/06/23-30/06/23-07/07/23-28/07/23-25/08/23-28/09/23-13/10/23-27/10/23-08/12/23-16/12/23-13/01/24-26/04/24-
29/7/2016,12,13/08/16-17/09/16-30/09/16-29/10/16-26/11/16-10/12/16-31/01/17-22/02/17-08/03/17-22/03/17-07/04/17-18/04/17-06/05/17-19/05/17-27/05/17-03/06/17-07/06/17-14/06/17-05/07/17-14/07/17-16/08/17-08/09/17-30/09/17-29/11/17-28/12/17-26/01/18-15/03/18-27/03/18-29/03/18-24/04/18-31/05/18-16/07/19-30/07/19-20/08/19-30/08/19-17/10/19-19/11/19-12/12/19-01/02/20-15/02/20-07/03/20-09/04/20-09/02/20-27/06/20-22/08/20-14/10/20-20/11/20-05/12/20-29/12/20-16/01/21-30/01/21-23/02/21-01/04/21-08/04/21-15/04/21-29/04/21-13/05/21-28/05/21-11/06/21-25/06/21-10/07/21-28/07/21-12/08/21-26/08/21-09/09/21-23/09/21-07/10/21-21/10/21-06/11/21-20/11/21-04/12/21-16/12/21-30/12/21-15/01/22-29/01/22-
30/7/2016,13,27/08/16-05/06/18-
30/7/2016,14,29/09/16-08/03/17-29/04/17-24/06/17-12/08/17-03/10/17-29/11/17-28/02/18-20/04/18-13/06/18-
30/7/2016,15,10/12/16-
30/7/2016,16,
30/7/2016,17,15/04/20-21/05/20-25/06/20-
2/8/2016,18,19/08/16-28/12/17-01/11/18-
2/8/2016,19,10/08/16-31/08/16-10/09/16-20/09/16-29/09/16-06/10/16-25/10/16-03/11/16-07/12/16-23/12/16-24/01/17-30/03/17-20/04/17-16/05/17-30/05/17-16/02/18-27/02/18-18/09/18-11/07/19-
2/8/2016,20,
3/8/2016,21,22/09/16-
3/8/2016,22,06/09/16-29/09/16-03/11/16-22/12/16-09/05/17-
3/8/2016,23,
3/8/2016,24,
4/8/2016,25,
4/8/2016,26,08/09/16-
5/8/2016,27,06/09/16-05/10/16-16/11/16-09/12/16-
5/8/2016,28,26/01/18-20/02/18-27/03/18-02/05/18-05/06/18-04/07/18-18/07/18-16/08/18-17/08/18-28/09/18-06/11/18-21/12/18-19/08/20-08/10/20-27/11/20-22/12/20-03/02/21-
5/8/2016,29,07/10/16-25/08/17-08/11/17-16/01/18-27/04/18-16/05/20-10/11/21-28/01/23-
5/8/2016,30,09/09/2016-21/10/16-25/11/16-13/01/17-28/04/17-30/06/17-04/08/17-30/08/17-10/10/17-14/11/17-18/01/18-22/02/18-27/03/18-04/05/18-05/06/18-12/07/18-09/08/18-11/09/18-19/10/18-14/12/18-16/01/18-06/02/19-14/03/19-09/04/19-25/06/19-02/08/19-29/08/19-26/09/19-22/10/19-22/11/19-19/12/19-23/01/20-14/02/20-18/03/20- 04/08/20-02/09/20-01/10/20-28/10/20-26/11/20-
5/8/2016,31,12/08/17-
5/8/2016,32,01/10/16 - 06/12/16-08/03/17-29/04/17-17/10/17-24/03/18-29/05/18-
6/8/2016,33,22/12/18-23/12/20-03/02/21-
6/8/2016,34,09/09/16-18/11/16-20/12/16-19/01/17-20/01/17-10/02/17-24/02/17-10/03/17-05/04/17-10/05/17-13/07/17-14/07/17-18/08/17-14/09/17-04/10/17-24/11/17-01/12/17-21/12/17-30/01/18-16/03/18-09/05/18-28/03/23-24/10/23-
6/8/2016,35,10/12/16-17/01/17-24/02/17-09/05/17-08/06/17-14/07/17-03/10/17-25/10/17-22/11/17-21/12/17-18/01/18-08/02/18-01/03/18-21/03/18-12/04/18-08/05/18-13/06/18-03/07/18-08/08/18-09/10/18-30/10/18-21/11/18-20/12/18-24/01/19-16/04/19-
6/8/2016,36,21/08/21-
